window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,s_rho,trace_distance,s_entanglement
0,25,3.4347164144979088,22,3.4261941173013377,0.4928273323828188,-0.21122158073212677,0.25086736980535224,0.7539596871386709,3.434716414533972,0.1404252374758148,1.2426801251417467
1,26,3.434619517700778,23,3.4278529443075567,0.4874016753154295,-0.2158011837721182,0.24851571591798816,0.6167107730429362,3.434619517738286,0.15868109092215404,1.329412964669549
2,26,3.4251802858249247,21,3.416254250981343,0.5012917349361534,-0.2042525098933604,0.20905899203814615,0.6634618908811308,3.425180285862432,0.15544485282860226,1.36994888501079
3,28,3.433074739822712,24,3.4264112607106267,0.49389792146079126,-0.21039998102587654,0.23432523543460604,0.6463471046765895,3.4330747398631045,0.2899261443520027,1.3393344776114224
4,26,3.417104952587201,23,3.411059311395812,0.48764600703251015,-0.21559803796887128,0.25068866204181695,0.6372661170039213,3.4171049526247073,0.1584149116679195,1.3142723021198108
5,25,3.411670639074404,23,3.4039517616691826,0.47769321823673716,-0.22387312930217595,0.27141102318945964,0.6153328909456265,3.411670639110466,0.145922859961251,1.2838785455709842
6,26,3.439167187529195,25,3.4356367805280112,0.46307471771797404,-0.23602745402773467,0.296200588335931,0.5794418636429272,3.4391671875667025,0.15642105215614432,1.2464473401652076
7,23,3.405926514050348,23,3.4017576830283525,0.45744616866497034,-0.24070722353187324,0.30531489565496084,0.568799769487152,3.4059265140835264,0.24560448592792203,1.2294065904814968
8,23,3.423741312022892,20,3.41436178998608,0.4903095584095991,-0.21338346963343952,0.24618962746291068,0.6569118822277336,3.4237413120560714,0.25246947964718597,1.3119792576774993
9,23,3.415808628188413,21,3.408079924617874,0.4802592938215731,-0.22173960569704357,0.26602046281359376,0.6182430783865867,3.4158086282215923,0.25216894704749104,1.293773343587573
10,23,3.4145795548984927,20,3.409517610406776,0.49109307950736114,-0.212732023211879,0.24299889236079172,0.6495336227309069,3.414579554931673,0.24814093714644103,1.3220454140664204
11,26,3.4391537506878107,25,3.431451949297488,0.46401803056679003,-0.23524315124185138,0.2938282118992398,0.5764676059962643,3.4391537507253185,0.16212036534690016,1.2538995445648582
12,26,3.433136294294392,24,3.4266940156653374,0.47540153440842364,-0.22577851415213956,0.2771943177641176,0.6199418909525831,3.4331362943318986,0.1565210771376719,1.268578152778757
13,26,3.4272661528895227,24,3.420570620913114,0.4758952774095129,-0.22536799921878434,0.2751551423370355,0.6137475666504634,3.4272661529270296,0.16082773046627624,1.2765612595444285
14,24,3.413689252038539,22,3.4049355490675017,0.4782037459892525,-0.22344865894849497,0.27107848957384434,0.6207564512329304,3.413689252073157,0.18169323186063405,1.2816135917271112
