window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size
0,10,3.2554792569704487,10,3.205390197112288,0.15151515151515152,0.2667582837146141,8.421970040988704,7.027417407879071,0.6344619242424243,4.872551062004372
1,12,3.3387387602497522,12,3.410020634849681,0.13636363636363635,0.36712311239979734,8.67157488924905,6.290516122418016,0.6457874393939395,5.050092423935635
2,10,3.2653622580218875,10,3.2597319075385385,0.13636363636363635,0.20084279639383276,8.768245288661099,6.794096082892923,0.702277106060606,5.241425887456373
3,10,3.2239057260748982,10,3.1900278989271413,0.16666666666666666,0.17881438281341377,8.270053407782942,6.956911058351296,0.5576637575757576,4.9829434221007025
4,11,3.335501507764243,11,3.2904910777506733,0.16666666666666666,0.22035176116664418,8.337114854672743,6.987685083238762,0.6426728636363637,4.94196021348615
5,10,3.1834561833513204,10,3.140593737543587,0.16666666666666666,0.3997004889248824,8.756373785052261,6.329947709629774,0.6628147121212121,5.004102324566878
6,11,3.3005960149794222,11,3.3275861299331275,0.15151515151515152,0.15766413285283976,7.925752313733019,7.150496033970225,0.6322979848484849,4.893632188222884
7,11,3.2836558508057445,11,3.2851689639892276,0.16666666666666666,0.1881274526237537,8.641169275421644,7.256815582111949,0.5991272575757576,5.036915143008305
8,11,3.297812401203419,11,3.2785240867506324,0.16666666666666666,0.1680763343308033,8.35312850770388,7.101941908541519,0.625344696969697,4.986518624427353
9,11,3.2363919799153846,11,3.3222033944399394,0.13636363636363635,0.30330932270490213,8.651124764388628,6.580832774769923,0.6489065,5.094199014242601
10,11,3.2567497575615274,11,3.2943316647996133,0.18181818181818182,0.21773153475993998,8.711148477079195,7.007841368651814,0.6489717121212121,5.030009276990035
11,11,3.2297786891477664,11,3.261372896456969,0.16666666666666666,0.17772467394490699,8.499052523318747,6.8700190346050665,0.612271,5.0917938845005795
12,12,3.418106334934876,12,3.328749431201467,0.15151515151515152,0.2019748508675604,8.230907889117862,6.939618653109133,0.6418561212121212,4.940551042542458
13,11,3.282469371922711,11,3.2673290099148757,0.16666666666666666,0.2994373564791827,8.869164067318719,6.442631789243962,0.6452305303030302,5.095254943693474
14,11,3.281769530897386,11,3.301291083824569,0.17105263157894737,0.16726937631164987,8.565865469441674,6.801698111984348,0.6131400789473684,5.11829968268574
