window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,s_rho,trace_distance,s_entanglement
0,10,3.217991187808789,10,3.258262870746453,0.4568865880825291,-0.24117247809750936,0.3203583000403138,0.6401353958139777,3.217991187823216,0.9877999614670878,1.1460287364630182
1,11,3.23345746505326,11,3.283635174392093,0.4576598459426724,-0.2405295648851239,0.3014144701939284,0.5492779760732202,3.23345746506913,0.984139623518973,1.2502501731667879
2,10,3.243363491455872,10,3.171849042996414,0.4573992506657571,-0.24074623277206056,0.30623898218350853,0.5733694197270496,3.2433634914702996,0.9877999614670876,1.2244098094664455
3,11,3.327588631132727,11,3.2982037883089173,0.45743658181831676,-0.2407151943663079,0.3055014017526823,0.5697238083900396,3.327588631148597,0.984139623518973,1.228399828795168
4,10,3.196694546269774,10,3.249935207031692,0.4575593089468743,-0.24061315480546494,0.3031935231790553,0.5582282095073293,3.196694546284201,0.9877999614670878,1.2407941670819187
5,11,3.3360723845293623,11,3.298099090185778,0.4574129884002092,-0.24073481074657205,0.3059654031819049,0.572018840252258,3.3360723845452323,0.984139623518973,1.2258913443779678
6,11,3.282429426604621,11,3.3327619703796367,0.45754097541324,-0.24062839793665114,0.3035280199692653,0.5599025112363557,3.2824294266204905,0.984139623518973,1.2390065112196578
7,11,3.1409011029381557,11,3.176681081438814,0.45748800119006433,-0.2406724425299896,0.30451405565964834,0.5648220467738599,3.140901102954024,0.984139623518973,1.2337194067874826
8,11,3.3156939304695685,11,3.2922892500428085,0.4574232085448265,-0.24072631336640216,0.30576351806916213,0.5710209582843869,3.3156939304854385,0.984139623518973,1.2269834382959408
9,11,3.2821452388218604,11,3.2497766161487758,0.45743289331775466,-0.24071826111269023,0.3055734674549265,0.5700806187581698,3.282145238837731,0.984139623518973,1.2280105817337752
10,10,3.2443498042656325,10,3.2736690229585017,0.4575012252348214,-0.24066144760380276,0.3042650840947796,0.5635821472283772,3.2443498042800596,0.9877999614670878,1.2350568160431026
11,11,3.343607235301693,11,3.2226537753230016,0.4574212803318935,-0.2407279165490336,0.3058015019156523,0.5712087854440452,3.3436072353175628,0.984139623518973,1.2267780430320525
12,13,3.358418461806594,13,3.409903396794067,0.4575197085300656,-0.2406460799556565,0.3039202925633856,0.5618625160520935,3.358418461825349,0.974402547729309,1.2369062464551868
13,10,3.201158222957849,10,3.2962602140291795,0.4576543765603383,-0.24053411231793723,0.3015090125550323,0.5497555035337749,3.2011582229722766,0.9877999614670878,1.2497498966003047
14,10,3.2424782706633435,10,3.270642549090973,0.45746531043815336,-0.24069130840249384,0.3049458808678007,0.5669689005361126,3.2424782706777706,0.9877999614670878,1.2313959235927066
