window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,s_rho,trace_distance,s_entanglement
0,11,3.314922016305285,11,3.0467501317709287,0.42335782624051904,-0.26338614729210685,0.31191045373185117,0.6472150557026529,3.3149220163211544,0.984139623518973,1.1504961565331941
1,10,3.235995965040145,10,3.192566398912583,0.45755799482657034,-0.24061424741033766,0.3032173892224449,0.5583477597611163,3.2359959650545727,0.9877999614670876,1.2406667199132688
2,10,3.1799499203981845,10,3.270926984374296,0.4576362776075265,-0.24054916041054997,0.3018236209561148,0.5513430522911086,3.179949920412612,0.9877999614670877,1.2480833004468812
3,11,3.3429707344056325,12,3.2718221465009005,0.42299176599289845,-0.25434693523345125,0.2433940147702879,0.5731358441377178,3.342970734421503,0.984139623518973,1.2300822564319263
4,11,3.275244387745991,11,3.302955025305244,0.4574938645437219,-0.240667567535851,0.30440342544400273,0.5642712893970442,3.2752443877618607,0.984139623518973,1.234313883677533
5,11,3.167328253286589,12,3.379845480283041,0.42434905478429713,-0.25384476724197963,0.23869945244583451,0.5331491908521454,3.1673282533024585,0.9841396235189729,1.2689519738610517
6,11,3.249147805048068,12,3.415893597923992,0.42123369918535203,-0.25448443590114445,0.23693923310792492,0.5463356840323732,3.2491478050639384,0.9841396235189731,1.256092952048525
7,11,3.223094737916973,11,3.3285068186119475,0.457618609569364,-0.24056385022588456,0.30213340178859066,0.5529039490409099,3.2230947379328425,0.984139623518973,1.2464395488743538
8,11,3.341700233813112,11,3.300987402084921,0.4574047974803506,-0.24074162095940044,0.30612821109810817,0.5728228077708956,3.3417002338289823,0.984139623518973,1.2250099000291266
9,12,3.3903418046172886,12,3.3723530760284004,0.4574357223553637,-0.24071590895340314,0.30551817845763196,0.5698068847144365,3.3903418046346006,0.9812256588900355,1.2283092248136085
10,12,3.311874019832838,12,3.328506818610505,0.45746132466227274,-0.24069462231381294,0.3050223546388322,0.5673486079910721,3.31187401985015,0.9812256588900355,1.2309839454533198
11,12,3.3696135386437938,12,3.3497850625709726,0.4574271469012373,-0.24072303888126298,0.30568608699957905,0.5706379533420355,3.3696135386611066,0.9812256588900357,1.2274020300562307
12,10,3.268145871797891,10,3.102842379377313,0.4574322927809295,-0.24071876041968682,0.305585217097526,0.5701387808218645,3.268145871812318,0.9877999614670878,1.2279471062025678
13,10,3.194651260187078,10,3.264662634194486,0.4576028893094014,-0.24057692059135125,0.30241131216040706,0.554302313865576,3.1946512602015047,0.9877999614670878,1.2449626210671445
14,10,3.181776387357281,10,3.204895603627187,0.45746013756172843,-0.24069560931008338,0.30504516775356266,0.5674618510941996,3.181776387371708,0.9877999614670877,1.230861017935678
