window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,z_qubit_4,z_qubit_5,z_qubit_6,z_qubit_7,z_qubit_8,z_qubit_9,s_rho,trace_distance,s_entanglement
0,20,3.4362956422894464,18,3.4301840199126628,0.1068427370948379,0.2329906956378067,8.454908093774955,6.868534913099136,0.6337896476590635,5.034321357599984,-0.30886219692095596,-0.214960557225383,0.49745134520257045,-0.02643747194520408,0.32582657567135065,-0.5977886784748543,0.17069662524147036,-0.016065324239048988,-0.10712659605220806,-0.32528326451134393,3.4362956423182975,0.5164348792221503,0.5130616549211273
1,18,3.414203979140942,18,3.40690786614434,0.1194477791116446,0.2593904502309508,8.480032053560661,6.80384777177876,0.6472416500600241,5.025055775310725,-0.3027356244478553,-0.18651651401021213,0.4657895592537538,-0.11033833353059716,0.3433945502704386,-0.6100675827508159,0.25578443670067824,-0.045821850184734426,-0.13765845968647164,-0.3222093744555132,3.4142039791669103,0.7038810368480541,0.49849677748902027
2,19,3.3874310622943797,18,3.388958290506003,0.1038415366146458,0.2579109492828303,8.543617792796645,6.800834633073232,0.6476660318127251,5.056426918219183,-0.29946697876652634,-0.18585087374595033,0.4671524006353124,-0.11913049183005106,0.35199313662139575,-0.609180038599236,0.2344059857673259,-0.019820274015831148,-0.12888724208767666,-0.32886583953826465,3.387431062321789,0.6127693921079869,0.5014196273573838
3,20,3.4219632783182794,17,3.4114103654755685,0.1068427370948379,0.228771547473282,8.608711753810502,6.926337552952004,0.6420404171668668,5.085714588412801,-0.2913288334951119,-0.2000611710260193,0.5062295797115006,-0.008181122848003328,0.3345525343649108,-0.6111243353333481,0.21255684115128803,-0.013921609907085918,-0.13396712290452792,-0.3394535866496513,3.421963278347131,0.5119129602407202,0.4872359706884272
4,18,3.4002289479587917,15,3.3947514442763915,0.1110444177671068,0.2204067494959317,8.483704463711286,6.905005427459609,0.653822138055222,5.051915851133815,-0.29807924001720787,-0.20751034466018312,0.5130133343705324,0.023341648851524274,0.3100235739023441,-0.6135693678126873,0.2650814962834571,-0.053238530179383195,-0.14428837043518425,-0.3201964369314151,3.4002289479847585,0.7041648039904964,0.4793633895580828
5,17,3.4098145255928154,16,3.407755129854249,0.1116446578631452,0.2509660947199201,8.548950945727924,6.816952462421231,0.6325248469387755,5.06584749866748,-0.3067634593617159,-0.19302996975570733,0.47264031828062913,-0.08847129730153896,0.3328189039445454,-0.6111200174793152,0.2944351833783372,-0.06217400617743684,-0.13520118155971103,-0.301000576924241,3.4098145256173407,0.7907981008100332,0.498208961108715
6,15,3.3679237828529005,13,3.3666898893011337,0.1152460984393757,0.2536261149937441,8.550630211743185,6.776198062311188,0.641224737695078,5.060959442273106,-0.3112136184287789,-0.21791936715406143,0.5127365864931989,0.004969561418047822,0.30250792902800416,-0.6151988616119187,0.34733164580275044,-0.11268679934998116,-0.12851523906728013,-0.2684970358813108,3.3679237828745405,0.9260675742288337,0.48364753825160123
7,18,3.4168521886069745,17,3.412617509881211,0.1038415366146458,0.2350167496421143,8.491667306025978,6.87023494414836,0.6336043265306123,5.038321354667123,-0.3025431353820968,-0.18779456391450614,0.4681413130521766,-0.10318504672151152,0.3413705483481925,-0.6100813707808561,0.2675605459385411,-0.03423634018966872,-0.1243781780661706,-0.312459559067481,3.416852188632941,0.7044812769440925,0.5013514045904635
8,18,3.399399348556221,15,3.3940946667980154,0.1092436974789916,0.2227148079214101,8.549680054162447,6.911965123784412,0.6401304249699881,5.0572552455460205,-0.29813471995185187,-0.20806825960674133,0.5151849891139625,0.023180044098401995,0.31522544475495057,-0.612839308520578,0.2710407189385495,-0.048924510115367574,-0.13801025507073672,-0.31713434017239933,3.3993993485821887,0.7051022741605212,0.4849617257406985
9,30,3.720664478328685,20,3.585142799378383,0.102641056422569,0.252039708722722,8.383160616273361,6.743096433835628,0.6279889267707083,5.016284503825991,-0.273914531084978,-0.1669793572234266,0.5209693832338097,0.21970031057661848,0.24769771347403874,-0.6092494324995438,-0.030851841892430464,0.1140953689751472,-0.06477278455743017,-0.38979579299135914,3.720664478371961,0.45343931985054337,0.47654011641505517
10,28,4.242181142956482,18,3.53997890624075,0.2118847539015606,0.3628576247919631,8.207806896620319,6.381809232385426,0.6577508163265307,5.044120984888658,-0.2903376378048797,-0.17321373056358036,0.5220066954182558,0.25368955802322474,0.2095271674947018,-0.611367759968504,-0.03716288068199284,0.08126521632841689,-0.09329326894638203,-0.3904560868649206,4.242181142996876,0.2839136790682179,0.4672352707980613
11,19,3.4133264297383654,17,3.4062041292777847,0.1062424969987995,0.2099967578189635,8.456380851973329,6.92779220317685,0.638759399759904,5.032169925448181,-0.2980045099665937,-0.19679098472935325,0.4874845527062069,-0.044782603969535685,0.3225592504325054,-0.6125799544500119,0.21478463341707565,-0.05514741131243936,-0.1619528550664644,-0.34144768173886025,3.4133264297657746,0.608106831735993,0.4814302700434623
