window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size
0,26,3.4223629935758684,21,3.414284520768426,0.10246024602460246,0.24322060273438398,8.51300717182256,6.839976081127434,0.641257602160216,5.049557487878418
1,23,3.426247313990563,25,3.4210065618286314,0.10216021602160216,0.2300568699892997,8.519522838041594,6.890437487716669,0.6398541870687069,5.048469657082924
2,23,3.4289176410931197,23,3.421537221171451,0.10141014101410141,0.23498218399871204,8.470692891939349,6.86169509809507,0.6384140766576658,5.037107598412964
3,24,3.412663025043147,21,3.404741226676492,0.10636063606360636,0.23870947347660104,8.55668301463138,6.834569958900043,0.6446514693969396,5.060878464812785
4,26,3.4179393879698408,22,3.409170264317132,0.10471047104710471,0.2370388413374318,8.520187322254724,6.849338709066141,0.6449371753675368,5.056118915764093
5,25,3.433096340979754,22,3.423254873909714,0.10366036603660365,0.23329990982209703,8.50338679163901,6.889876437359926,0.6335488508850885,5.043603452812524
6,23,3.418621950663884,24,3.4132496078440266,0.10276027602760276,0.24946474776993854,8.502754252988538,6.805600790163179,0.6442502155715571,5.03658469336267
7,21,3.4089763591363593,19,3.401418766436213,0.10576057605760576,0.23023119224474312,8.448623238274488,6.848808530016649,0.6386523153315331,5.01776074576423
8,22,3.418296520645775,21,3.411883680674387,0.10291029102910292,0.2466213137157015,8.556269298068894,6.807376584184167,0.6436478636363636,5.050100143712604
9,27,3.410972067491596,25,3.406217450603929,0.10531053105310531,0.2362566881771675,8.504415804111844,6.852649742264537,0.6399251846684668,5.050997520804961
10,80,4.024729309328478,32,3.8087275726898264,0.09555955595559557,0.2716475607383754,8.47619391596559,6.620446955217634,0.6205329233423341,5.037693327673153
11,81,3.871786187923662,30,3.7129906470481306,0.09555955595559557,0.25064921284701475,8.420199275557446,6.717724979742139,0.6255359783978398,5.014725040871927
12,27,3.429255167144769,24,3.422562174435029,0.10561056105610561,0.23566104646914002,8.471371654652527,6.825465579416895,0.6369169944494449,5.02670390310566
13,83,4.058946302084372,30,3.8292351497375887,0.096009600960096,0.266262333175776,8.40132446144519,6.6031170295359445,0.6098439188418842,5.0122083346034305
14,82,4.141539001760063,31,3.873199798712486,0.09751348112642301,0.2669877176662713,8.356281074573198,6.601338515503844,0.6098495435889754,5.008272535154599
