window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,z_qubit_4,z_qubit_5,z_qubit_6,z_qubit_7,z_qubit_8,z_qubit_9,s_rho,trace_distance,s_entanglement
0,24,3.4225909248024973,22,3.4144717494506147,0.105010501050105,0.2331384238190373,8.527325273369472,6.890553473986397,0.6405841465646565,5.057393207537269,-0.29648014670468686,-0.2008451916243824,0.48320822917628076,-0.06771742699817225,0.34996168121595966,-0.600056399206594,0.06549967021849344,0.036064673308171334,-0.09426886972497535,-0.3564389690273289,3.422590924837118,0.18180833736459334,0.5113989418545394
1,27,3.4303696281891827,23,3.4222832331766546,0.1039603960396039,0.2370592244704009,8.494061671646119,6.8546816643096165,0.6368793160816081,5.029916943348595,-0.26982997383522966,-0.18136372892258593,0.49475695466843367,-0.0352710325905165,0.3568510092191988,-0.6088944683202667,0.0176900749912345,0.06258577311197462,-0.10695272244252305,-0.38648935687493274,3.4303696282281333,0.21156640604144303,0.47669411933460076
2,23,3.411291400844084,21,3.4050733558646797,0.103060306030603,0.2399250554117417,8.530993245226258,6.841587020537083,0.6417370510051006,5.048647414699599,-0.28566617584555454,-0.18260100820114572,0.4736952834941019,-0.1001070015321062,0.35849038026615077,-0.6092635994651624,0.1073609850363523,0.014990833607148642,-0.1360611474543763,-0.3708118260835551,3.411291400877263,0.2580909836040526,0.4832012610959893
3,24,3.422320677585964,24,3.416704570476506,0.106060606060606,0.2357106819475572,8.49480556694054,6.836457081332052,0.6373671285628563,5.04101143550515,-0.2857668765041216,-0.17163294231444048,0.4544041247947218,-0.15468252438347313,0.3671070069055804,-0.6075361108012779,0.08450327001183061,0.03696995121133482,-0.12277772505513784,-0.3729882547993181,3.422320677620586,0.19000008374114832,0.4918155305907986
4,24,3.430835119575573,22,3.422702949836053,0.1071107110711071,0.2339685483977994,8.519878460317893,6.856404404670941,0.6407107613261326,5.058620574456526,-0.2829863749833318,-0.18076548948331106,0.4740543909554497,-0.11189401038779656,0.3666107082810195,-0.6080359540011375,0.08631712610360748,0.032163497636254625,-0.12607106690074601,-0.3737206302842393,3.430835119610194,0.1809670605316974,0.4880054123037379
5,25,3.417511990907032,21,3.409807897628241,0.103060306030603,0.2314369549636117,8.497147984156076,6.84717597234895,0.6436808408340835,5.049712710632786,-0.2757722946477713,-0.1874453007124082,0.5016128586078071,-0.013738575247582019,0.34954121856071096,-0.6091359670029018,0.06256084074717375,0.044189218883451745,-0.11963998345595162,-0.3784510240603015,3.4175119909430953,0.1447101836456866,0.478922336017294
6,26,3.441237927420108,23,3.4324195601694965,0.1063606360636063,0.2340752285092748,8.498184142414756,6.821510327468378,0.6404303739873988,5.040194946907696,-0.2755449773916646,-0.1805048240962207,0.4819859404014944,-0.07519441303088335,0.3606398372912838,-0.6091180010553382,0.03756212995942429,0.05348178815880964,-0.11490173886029839,-0.382989340998105,3.441237927457615,0.15810005131729468,0.4775994396267463
7,23,3.417472886848669,21,3.410594720870024,0.1029102910291029,0.2306160395734252,8.5042394487977,6.868941797516351,0.6417127200720072,5.050414565355855,-0.2855445198124728,-0.18292707378737016,0.4747794033072818,-0.10111530828892813,0.3601619179495891,-0.6090081819180032,0.10830795251520774,0.014873211583108701,-0.13651077155340893,-0.369933546212592,3.4174728868818494,0.2459489444300932,0.4845654826010856
8,26,3.430625714877926,23,3.421567058364793,0.1029102910291029,0.2341274712907381,8.52315492980983,6.872761806230932,0.6418577676267626,5.047276404408733,-0.2751377706204722,-0.18085285566625803,0.48405387756962986,-0.0770319006777839,0.3642830663310292,-0.6083829224534911,0.042392822088852505,0.056938368572777925,-0.1120179355056123,-0.3814460546849286,3.430625714915431,0.15563015071728878,0.48219493471699837
9,25,3.4254251471592,22,3.4160469298880827,0.1048604860486048,0.2320755057467965,8.494078856068294,6.874770398556426,0.6405184246924692,5.034744142905264,-0.2778269173584373,-0.18365026121100872,0.4863001976478835,-0.06710822895483286,0.35970159489883374,-0.6089640806440063,0.06052509511842012,0.0371897380800245,-0.12620976452433294,-0.3800442523369051,3.4254251471952633,0.13872568128592383,0.4790301365337845
