window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size,z_qubit_0,z_qubit_1,z_qubit_2,z_qubit_3,z_qubit_4,z_qubit_5,z_qubit_6,z_qubit_7,z_qubit_8,z_qubit_9,s_rho,trace_distance,s_entanglement
0,27,3.423027261676162,25,3.416970571898355,0.1057605760576057,0.2449184388795906,8.522486372628636,6.849434224224528,0.6425853457845784,5.050494366879425,-0.2892246363282084,-0.19288653196053201,0.4751592091211683,-0.09096539752168764,0.3611693708367475,-0.6010372014196355,-0.002504969706763457,0.06875522703741382,-0.07859665490890833,-0.3707538118264736,3.423027261715112,0.21584385520637153,0.5087062888683994
1,23,3.4070678718972878,21,3.400501858277391,0.1074107410741074,0.2397523745338037,8.518896790314495,6.842879301547009,0.6403459446444645,5.054628216119659,-0.2842019565155783,-0.18201062882851135,0.47508635601030746,-0.10175742155867619,0.36148725251672303,-0.6088909878894434,0.10522449912800289,0.013452967193572862,-0.13473087921152116,-0.3715443646322728,3.407067871930468,0.25560050013389624,0.4844764401249561
2,35,3.8244873583679215,23,3.609945831650407,0.0942094209420942,0.2620442372731082,8.399095759722227,6.740803217286322,0.6414145874587459,5.037251480060797,-0.2699444611035011,-0.15920149022679822,0.5197856637737103,0.23461736579900908,0.25511618561900234,-0.607551478490748,-0.10911391491045172,0.1324122388725825,-0.05289438584583381,-0.39565026332972725,3.8244873584184127,0.8321955188328906,0.470420943607247
3,24,3.4276281596305926,22,3.4211075525210357,0.1027602760276027,0.2250055166274937,8.493764482056177,6.876065890196714,0.6421887172217221,5.0460647136051975,-0.2848360447013843,-0.17968094203949453,0.4682650832594044,-0.0966162508160973,0.3506153587613683,-0.6110526133409903,0.07273410821370785,0.009227119039910817,-0.14399090489927865,-0.37983554299985856,3.427628159665215,0.18279324786882534,0.4756210743486306
4,26,3.4371536692463627,26,3.428018646919952,0.1057605760576057,0.2365737457052577,8.524273363639445,6.85507439087957,0.6426881065106511,5.056053127791203,-0.2811115641140093,-0.16784425324521762,0.4518536670813075,-0.16333911843610274,0.37122648191057195,-0.6072135339750684,0.0363618505293585,0.057548024988293,-0.11234560016664379,-0.38130822015441257,3.43715366928387,0.15535616173960126,0.4890986861170152
5,23,3.4180419616502187,22,3.410762522745684,0.1068106810681068,0.2426686644630615,8.527315372594911,6.825608329387501,0.6406918057305732,5.045575671683258,-0.2891934525074583,-0.1747028438493262,0.4566261899158774,-0.1544624653689498,0.3665466928226115,-0.6074292810670346,0.10697113135777848,0.017466827737070218,-0.1341505607696855,-0.3700781287688735,3.4180419616833984,0.25044432469010847,0.49292250489710704
6,32,3.938725597370712,21,3.6162287560113673,0.0969096909690969,0.2903164719235728,8.412815668073579,6.662510333171058,0.651045900240024,5.058272821952342,-0.27736821403396483,-0.16428952259143004,0.522927234123387,0.23979935957306295,0.2507113507638044,-0.6074636326738299,-0.07202065161723967,0.11642218657060527,-0.06581880882187628,-0.39382727440376514,3.938725597416875,0.5641606068186212,0.47481653476540897
7,29,3.4347016134639325,24,3.425564894846488,0.1045604560456045,0.238715226575212,8.520424191650056,6.860482608777581,0.642208603360336,5.0517441570715125,-0.26726353276632153,-0.18085518904745718,0.49708059942458005,-0.0009501514396631325,0.3376633618264874,-0.6118246142262113,-0.02710135227566761,0.06232503459069975,-0.11181776293456734,-0.39260635688243406,3.4347016135057675,0.38312740987999355,0.4633974057281726
8,29,3.434386351695325,23,3.423267879873733,0.1047104710471047,0.2310496943007226,8.509165417794616,6.876949150868047,0.6467619702970298,5.047444240349274,-0.2662593497144813,-0.18110155701548636,0.5087380619351592,0.043751471497412125,0.3341691990271297,-0.6095712286220898,-0.025320351873828376,0.07155861002691177,-0.10560410820482469,-0.39112093542935145,3.434386351737159,0.3852709196174264,0.46783808075718814
9,27,3.4364655524333383,25,3.4277154625906445,0.1068106810681068,0.2533783800080819,8.570503523531213,6.803640786240623,0.6414178105310532,5.070121601691982,-0.27691436862660535,-0.17140647211447824,0.461085763504344,-0.12886724895883125,0.3668048921727019,-0.6086874512792345,0.011762547232669285,0.0576544457024076,-0.11337149619542924,-0.38671839631212707,3.4364655524722876,0.2188469682049094,0.47822465403756936
