window_id,unique_src_ip,entropy_src_ip,unique_dst_ip,entropy_dst_ip,dst_concentration,mean_duration,mean_total_bytes,mean_pkts_per_sec,mean_outbound_ratio,mean_pkt_size
0,25,3.4318178894168345,22,3.4242331906972954,0.10576057605760576,0.23455781647066778,8.501619360737514,6.870579335248154,0.6415032059705971,5.036331775747631
1,24,3.419924478217318,23,3.414648237153984,0.10441044104410441,0.23018384004031475,8.521578716950382,6.907059466304273,0.6453772892289229,5.048296803261194
2,26,3.4247491127152063,23,3.417358235565596,0.10396039603960396,0.233481443651217,8.512810574736863,6.850877938293104,0.6368213567356736,5.057335365437139
3,22,3.4133582491156957,18,3.4065273133966687,0.10486048604860486,0.24182577139801534,8.504351927105539,6.850594593613148,0.6411668519351934,5.0482879370802225
4,24,3.4121987537392973,24,3.409027322750144,0.10201020102010201,0.23966499035053013,8.524024697808013,6.869853403051094,0.6383335157515752,5.046911609946842
5,25,3.41729750680897,22,3.410358184927226,0.10546054605460546,0.23539660301124748,8.483166672109649,6.8599460549361755,0.638733708670867,5.03468363116462
6,26,3.4238489060839354,22,3.4158763332147855,0.10711071107110712,0.24575862986838307,8.526606794593466,6.8156679322123,0.6456178718871888,5.050299195035499
7,23,3.4184105033022267,22,3.4112896578334944,0.10456045604560456,0.23397779256748696,8.519427262252767,6.865187162297364,0.6432234332433243,5.040665735297208
8,27,3.42066199560924,23,3.4160800809217777,0.10456045604560456,0.23536331909941763,8.498151424030606,6.8312332808646135,0.6390466134113412,5.044619154930047
9,24,3.408080531628725,22,3.402436439603562,0.10606060606060606,0.23188307153541998,8.526239083597973,6.869910379863964,0.639494595409541,5.048237949910917
10,27,3.427967988009449,21,3.41946510749409,0.10441044104410441,0.23466853182814487,8.508805455566307,6.888995597603859,0.6416347056705671,5.048041264667884
11,25,3.4233913083994203,20,3.4157594954288943,0.10426042604260426,0.2361404837321893,8.513964078265225,6.855939677255251,0.635603204770477,5.0407582849293355
12,24,3.417002100756732,21,3.4084468942036406,0.10546054605460546,0.23351713193824772,8.52180989289108,6.863432029910962,0.6412197916291629,5.047622205131219
13,21,3.41858812549352,19,3.4097708319848237,0.10666066606660667,0.24462169593849012,8.497961122026872,6.841562309405005,0.6366678549354935,5.042763650096354
14,27,3.4229290024762884,22,3.4136011210337833,0.10799880167765129,0.24374291364434092,8.558692234981402,6.8476096323419435,0.6475641727082085,5.060612011565759
